Formulation name,Procedure
Acyclovir Oral Suspension (2),1. Suspend item 1 and item 2 in the solution of items 3 through 7. 2. Mix vigorously to suspend. 3. Fill.
Adapalene Solution,1. Charge items 1 and 2 in a suitable mixing vessel. Stir. 2. Add and dissolve item 1 and mix.
Albendazole Oral Suspension,"1. Disperse items 1 and 6 in 100.0 g of item 4 in a stainless steel container, using stirrer. 2. Dissolve item 7 in 100.0 g of item 11 (50° to 60°C) in a stainless steel container while stirring with the stirrer. Cool to 25° to 30°C. Add in to step 1 while mixing. 3. Levigate to make smooth slurry and keep aside for 2.0 hours. 4. Make a slurry of item 5 in 10.0 g of item 4 in a stainless steel container while stirring with the stirrer. Add 200.0 g of item 11 (25° to 30°C) while stirring and continue stirring for 30 minutes. 5. Dissolve item 8 in 10.0 g of item 11 (25° to 30°C) in a stainless steel container, using a spatula. 6. Add 500.0 g of item 11 (25° to 30°C) into mixer. Dissolve items 2 and 3 while mixing. 7. Add the content from step 1, 2, and 3 into step 4. Mix and homogenize at 25° to 30°C, mixer speed 18 rpm, homogenizer high speed, and vacuum 0.4 to 0.6 bar for 10 minutes. 8. Add items 9 and 10 in to step 4. 9. Mix and homogenize at 25° to 30°C, mixer speed 18 rpm, homogenizer at high speed, and vacuum 0.4 to 0.6 bar for 15 minutes. 10. Make up the volume with item 11. Mix for 20 minutes. 11. Check the suspension for homogeneity. Transfer the suspension through a 630-micron sieve to stainless steel storage tank. It is very important that you do not store the bulk suspension more than 48 hours in the storage tank without stirring. Before sending for filling in packaging, stir no fewer than 30 minutes for uniform dispersion to avoid the problem of content uniformity."
Albendazole Suspension,"1. Charge in a tank 20% of item 11 and heat to 90°C. 2. Add and dissolve item 7; reduce temperature to 40°C and add item 3. 3. In a separate vessel add and dissolve item 9 in a portion of item 11. 4. Add step 3 to step 2. 5. In a separate vessel disperse item 4 in 40% of item 11 at 65°C and allow to hydrate to make it into a paste. Cool to room temperature. 6. Add to step 3 through a stainless steel filter. 7. In a separate vessel add and make a paste of items 1 (passed through #100 mesh), 3, and 6. Add to step above. 8. Add item 2. Stir well. 9. Add flavor and add item 11 to make up the volume."
Albuterol Inhalation Solution,"1. Charge all items in a suitable stainless steel vessel and mix. Keep nitrogen flushing throughout, and also into item 4 before adding other ingredients. 2. Check and adjust pH, using sulfuric acid, to 3.50. 3. Fill."
Aluminum Chloride Solution,1. Charge items 1 and 2 in a suitable stainless steel container and mix. 2. Fill.
Aluminum Hydroxide and Magnesium Hydroxide Suspension,"1. Disperse item 14 in 60.0 g of hot item 15 (70° to 80°C) in stainless steel vessel, using stirrer. 2. Continue stirring for 30 minutes. 3. Transfer the dispersion into mixer (e.g., Krieger) vessel by vacuum and mix for 30 minutes at mixer speed 16/32. 4. Cool down to 30°C. Add 200.0 g of hot item 15 (70° to 80°C) into the mixer. 5. Mix and homogenize at rpm 1420 mixer speed 16/32, vacuum 0.5 bar for 30 minutes. 6. Cool down to 30°C. 7. Add 1.0 kg of item 15 (70°C) to a suitable vessel and heat to 85° to 90°C for 1 hour. 8. Cool to 20° to 25°C. 9. Mix items 13 and 4 and immediately add to item 15 (20° to 25°C) in the storage vessel. 10. Mix for 2 minutes. Store in a previously cleaned storage vessel. 11. Load item 2 and 100.0 g of item 15 (25° to 30°C) in a stainless steel mixing vessel with lid and stirrer. 12. Mix for 5 minutes at medium speed. 13. Transfer by vacuum into mixer. Load 80.0 g of item 1 and 80.0 g of item 15 (25° to 30°C) from step above in a stainless steel mixing vessel with lid and stirrer. 14. Mix for 5 minutes at medium speed. Transfer by vacuum into mixer. 15. Load 80.0 g of item 1 and 80.0 g of item 15 (25° to 30°C) from step above in a stainless steel mixing vessel with lid and stirrer. Mix for 5 minutes at medium speed. Transfer by vacuum into mixer. 16. Load 80.0 g of item 1 and 80.0 g of item 15 (25° to 30°C) from step above in a stainless steel mixing vessel with lid and stirrer. 17. Mix for 5 minutes at medium speed. Transfer by vacuum into mixer. Load 50.0 g of item 1 and 50.0 g of item 15 (25° to 30°C) from step above in a stainless steel mixing vessel with lid and stirrer. 18. Mix for 5 minutes at medium speed. Transfer by vacuum into mixer. Transfer item 11 into mixer by vacuum. 19. Dissolve item 10 in 2.0 g of item 15 (25° to 30°C) and transfer into mixer. Mix and homogenize for 30 minutes at 1420 rpm, under vacuum 0.5 bar. 20. Dissolve items 5 and 7 in item 9 (50° to 60°C) by stirring in stainless steel container in a water bath. 21. Dissolve items 8 and 6 and add it to parabensglycol solution. 22. Mix well; add to mixer. Mix and homogenize for 10 minutes under vacuum 0.5 bars. 23. Mix items 12, 3, and 2.0 g of item 15 and immediately add to the mixer. Mix for 10 minutes without vacuum.  24. Add cold item 15 to make up the volume up to 1 L. Mix for 15 minutes. 25. Transfer the suspension through 630-micron sieve to the stainless steel storage tank. Final pH 7.5 to 8.0, density 1.04 to 1.06."
Aluminum Hydroxide and Magnesium Hydroxide Suspension (2),"1. Disperse item 14 in 60.0 g of hot item 15 (70° to 80°C) in stainless steel vessel, using stirrer. 2. Continue stirring for 30 minutes. 3. Transfer the dispersion into mixer (e.g., Krieger) vessel by vacuum and mix for 30 minutes at mixer speed 16/32. 4. Cool down to 30°C. Add 200.0 g of hot item 15 (70° to 80°C) into the mixer. 5. Mix and homogenize at rpm 1420 mixer speed 16/32, vacuum 0.5 bar for 30 minutes. 6. Cool down to 30°C. 7. Add 1.0 kg of item 15 (70°C) to a suitable vessel and heat to 85° to 90°C for 1 hour. 8. Cool to 20° to 25°C. 9. Mix items 13 and 4 and immediately add to item 15 (20° to 25°C) in the storage vessel. 10. Mix for 2 minutes. Store in a previously cleaned storage vessel. 11. Load item 2 and 100.0 g of item 15 (25° to 30°C) in a stainless steel mixing vessel with lid and stirrer. 12. Mix for 5 minutes at medium speed. 13. Transfer by vacuum into mixer. Load 80.0 g of item 1 and 80.0 g of item 15 (25° to 30°C) from step above in a stainless steel mixing vessel with lid and stirrer. 14. Mix for 5 minutes at medium speed. Transfer by vacuum into mixer. 15. Load 80.0 g of item 1 and 80.0 g of item 15 (25° to 30°C) from step above in a stainless steel mixing vessel with lid and stirrer. Mix for 5 minutes at medium speed. Transfer by vacuum into mixer. 16. Load 80.0 g of item 1 and 80.0 g of item 15 (25° to 30°C) from step above in a stainless steel mixing vessel with lid and stirrer. 17. Mix for 5 minutes at medium speed. Transfer by vacuum into mixer. Load 50.0 g of item 1 and 50.0 g of item 15 (25° to 30°C) from step above in a stainless steel mixing vessel with lid and stirrer. 18. Mix for 5 minutes at medium speed. Transfer by vacuum into mixer. Transfer item 11 into mixer by vacuum. 19. Dissolve item 10 in 2.0 g of item 15 (25° to 30°C) and transfer into mixer. Mix and homogenize for 30 minutes at 1420 rpm, under vacuum 0.5 bar. 20. Dissolve items 5 and 7 in item 9 (50° to 60°C) by stirring in stainless steel container in a water bath. 21. Dissolve items 8 and 6 and add it to parabensglycol solution. 22. Mix well; add to mixer. Mix and homogenize for 10 minutes under vacuum 0.5 bars. 23. Mix items 12, 3, and 2.0 g of item 15 and immediately add to the mixer. Mix for 10 minutes without vacuum.  24. Add cold item 15 to make up the volume up to 1 L. Mix for 15 minutes. 25. Transfer the suspension through 630-micron sieve to the stainless steel storage tank. Final pH 7.5 to 8.0, density 1.04 to 1.06."
Aluminum Hydroxide and Magnesium Hydroxide Suspension (3),"1. Add a dry blend of items 1 and 2 to item 3 slowly, agitating with maximum available shear until a smooth and uniform mix is obtained. 2. Mix together items 4 to 6 in another vessel until uniform and then add to the above mix and agitate until uniform. 3. Add item 7 and mix until uniform."
Aluminum Hydroxide and Magnesium Hydroxide Suspension (4),1. Mix Cremophor RH 40 well with the silicon oil. 2. Add the water and suspend the solid substances.
Aluminum Hydroxide and Magnesium Hydroxide Suspension (5),"1. Add the parabens and saccharin to item 1 with stirring until dissolved (may heat to 80°C to dissolve). 2. Add item 5 with mixing. Finally, add items 6 and 7. 3. Mix well."
"Aluminum Hydroxide, Magnesium Hydroxide, and Simethicone Suspension","1. Add the parabens and saccharin to item 1 with stirring until dissolved (may heat to 80°C to dissolve). 2. Add item 5 with mixing. Finally, add items 6 and 7. 3. Mix well."
"Aluminum Hydroxide, Magnesium Hydroxide, and Simethicone Suspension (2)","1. Mix Cremophor RH 40 with simethicone, heat to about 50°C, stirring well. 2. Add the warm water. 3. Dissolve the flavors and saccharin in water and suspend aluminum hydroxide, magnesium hydroxide and Kollidon CL-M. 4. Add emulsion of items 1 to 3 to the stirred suspension of items 4 to 11 and adjust pH to about 9 with item 12 if needed."
Aluminum Hydroxide and Magnesium Carbonate Dry Syrup,1. Granulate mixture of items 1 to 5 with solution of items 6 to 10. 2. Pass through a sieve and dry. 3. Shake 58 g of the granules with 100 mL of water. Homogenize.
Aminacrine Hydrochloride Topical Solution,"1. Charge item 6 in a suitable stainless steel vessel and add and dissolve item 1 by heating to 65°C. 2. Charge items 3 to 5, 7, and 9 in a separate vessel and mix. 3. Add above items to step 1. 4. On cooling, add items 8 and 2 and mix. 5. Fill."
Amoxacillin Powder for Suspension,"1. Charge items 3 and 2 in a mixer and mix for 2 minutes. 2. Add item 4 and items 6 to 11 and mix for 5 minutes. 3. Pass through Fitz Mill, impact forward at high speed using sieve 24228. 4. In a separate mixer, charge items 5 and 1 and mix well, passing through a sifter. 5. Add to step 3 and mix for 20 minutes. 6. Fill 65.00 g for 100 mL and 39 g for 60-mL pack size."
Amoxacillin–Clavulanate Syrup,"Throughout the process of manufacturing and filling, maintain relative humidity of not more than (NMT) 40%. 1. Mill 50% of amoxacillin trihydrate, Saccharin sodium (dried to NMT 2% moisture by Karl Fischer method), and succinic acid through a #100 mesh sieve using Fitzmill or equivalent with blades forward. 2. Transfer to a blending mixer and mix for 15 minutes. 3. Mill remaining amoxacillin trihydrate through a #100 mesh using Fitzmill or equivalent and mix with above screened powders; mix for 15 minutes. 4. Mill xantham gum, hydroxypropyl methylcellulose (dried to NMT 2% mositure dried at 105°C for 2 hours), colloidal silica, and silica gel through a #100 screen using Fitzmill or equivalent with knives forward. Add to above mixture in step 2 and mix for 15 minutes at medium speed. 5. Screen all dry flavors through a #100 mesh screen and add to above mixture. 6. Fill dry powder about 7 g in dry 60-mL glass bottles at a fill weight based on the assay of the active constituent."
Ampicillin Powder for Suspension,"1. All operations to be completed in relative humidity 45 to 55% and temperature 23° to 25°C. 2. Charge items 2 and 3 in a suitable blender and mix for 5 minutes. 3. Charge in a separate mixer, items 1, 4 to 10 and mix for 5 minutes. 4. Add step 2 into step 3 and mix for 10 minutes. 5. Add item 11 and mix for 10 minutes. 6. Fill 65 g for 100-mL pack and 39 g for 60-mL pack. For 250-mg strength, adjust active ingredient and adjust with item 11."
Ampicillin Powder for Suspension (2),1. Mix all components and fill appropriate amount.
Amprenavir Capsules,"1. Charge item 2 in a suitable stainless steel-jacketed vessel and heat to 50°C until liquefied. 2. Add item 3 (90%) at 50°C and mix until homogenous solution obtained. 3. Increase temperature to 65°C, add item 1, and stir to dissolve. 4. Add item 4 and balance of item 2, cool to room temperature, apply vacuum to remove air entrapped. 5. Fill in size-12 oblong, white opaque soft gelatin capsules using a capsule-filling machine. 6. Dry the capsule shells to moisture of 3 to 6% water and a shell hardness of 7 to 10 Newtons, and pack in a suitable container."
Ascorbic Acid Solution,"Keep under CO2 protection at all times. Avoid contact with iron. Use stainless steel or glass-lined equipment only. Propylene glycol must be water white. 1. Load 86.8 g propylene glycol into a glass-lined or suitable stainless steel-jacketed tank. 2. While mixing, heat to 70° to 80°C. 3. Bubble CO2 gas into the propylene glycol from the bottom of the tank. 4. Add and dissolve the ascorbic acid into the propylene glycol with a minimum of stirring under CO2 protection. 5. When the ascorbic acid is in solution, immediately cool to approximately 25°C while continuing to mix. Also, while cooling, change CO2 addition from tank bottom to tank top. 6. q.s. to 1 L, using propylene glycol and mix for at least 10 minutes. 7. Use a prefilter pad and a lint-free filter paper, E&D No. 950 or its equivalent; alternatively, a Sparkler filter (or equivalent) may be used. 8. Recirculate the product through the filter press until sparkling clear. 9. Flush a suitable storage tank with CO2 gas and continue CO2 gas protection while product is being collected. 10. Filter the product into the storage tank and hold under CO2 protection. 11. Flush headspace of storage tank with CO2 gas protection."
Atovaquone Suspension,1. Charge items 4 and 3 in a suitable stainless steel vessel and mix well. 2. Add and mix item 2 with gentle mixing. 3. Add gradually item 1 and mix; pass through homogenizer.
Azelastine Hydrochloride Nasal Spray,"1. Charge 90% of item 8 in a suitable stainless steel vessel. 2. Dissolve in the following order: azelastine hydrochloride, edetic acid, sodium chloride, benzalkonium chloride, citric acid, and sodium monohydrogen-phosphate, and mix well. 3. Bring to volume with item 8. 4. Pass the solution through a membrane filter of pore size 0.22 microns. 5. The filtrate has a pH value of 6.8 ± 0.3. 6. Fill in plastic bottles that are closed with a conventional spray insert or into plastic or glass bottles that are closed with a conventional pump sprayer. In the latter case, pumps with nasal spray inserts are, for example, used that spray about 0.14 mL of solution per actuation. In this manner, 0.14 mg of azelastine hydrochloride is sprayed into the nose per actuation in the form of the solution."
Azithromycin Suspension,"1. Charge in a suitable stainless steel double-cone blender, sucrose, sodium phosphate, xanthan gum, sodium cyclamate, sodium saccharin, glycamil, and starch pregelatinized. 2. Mix for 15 minutes. 3. Mill the mixture in step 2 using a hammer mill (hammer forward) equipped with a 2-mm screen at high speed. 4. Charge into a double-cone mixer the mixture from step 3 and add azithromycin and flavors. 5. Mix for 15 minutes. 6. Fill 11.01 g per bottle. The bottle must be reconstituted with 10 mL of the diluent (see step below) to obtain 16.5 mL of suspension with concentration of 200 mg/5 mL. 7. Prepare the diluent by first dissolving items 14 and 15 in item 13 at 69° to 70°C, then mix with item 12 and item 16."
Barium Sulfate Oral Suspension,1. Charge 90% of item 6 in a suitable jacketed vessel. 2. Add and mix preservatives and item 3. Mix well. Allow to hydrate. 3. Add item 2 and mix well until clear solution is obtained. 4. Add item 1 and mix to a smooth suspension. Homogenize if necessary.
Beclomethasone Dipropionate Inhalation Aerosol,"1. Charge beclomethasone dipropionate into a pressure addition vessel and dissolve with stirring in ethanol in which oleic acid has been previously dissolved. 2. After sealing and evacuation of step 1, add item 4, which has previously been aerated with carbon dioxide and adjusted to a pressure of 6.5 bar (20°C), in another pressure vessel, with stirring. The solution obtained is dispensed into aluminum containers sealed with metered valves by means of the pressure-filling technique (e.g., units from Pamasol W. Maeder, Pfaffikon, Switzerland)."
Benzocaine and Tetracaine Topical Solution,X
Benzyl Benzoate Solution,"1. Heat the mixture of benzyl benzoate and Cremophor RH 40 to about 60°C. 2. Stir strongly and slowly add the water. Finally add the ethanol. This produces a clear, colorless liquid."
Beta-Estradiol Vaginal Solution,1. Add the beta estradiol and propylene glycol into a clean vessel. 2. Subsequently add the poloxamer and water to the vessel. 3. Mix until uniform.
Bismuth Carbonate Suspension,"1. Dissolve item 2 in hot water. Disperse item 1 in 75 mL room-temperature item 10. 2. With constant agitation, add item 3 and continue stirring. 3. Mix and cool to room temperature. 4. Disperse item 4 in item 10. Add it to the batch. Dissolve item 2 in item 1 dispersion and add to batch. 5. Dissolve items 6 and 7 in water and add. Add flavor, color, and water to volume. 6. Pass through homogenizer or colloid mill if necessary."
Bismuth Subsalicylate Suspension,"1. Dry blend items 1 and 2 and add them to item 3 slowly, agitating until smooth. 2. Add items 4 to 7 to this dispersion gradually, mixing well each time. 3. Add items 8 to 10 to smooth mix."
Bromazepam Drops,"1. Charge item 8 in a suitable stainless steel mixing vessel and, while stirring, add item 3 and dissolve. 2. Add item 7 and stir continuously. Add item 2 and then item 1 and stir to dissolve. 3. Add flavors and mix. 4. Check and adjust pH to 5.0, if necessary, using item 5. 5. Make up volume with item 8."
Bromhexine Hydrochloride Syrup — Alcohol Free,"1. Add 240.0 g of item 8 (25°C) to the manufacturing vessel. 2. Add item 5 and mix for 20 minutes at high speed. Unload 180.0 g of item 2 to the manufacturing vessel and mix for 3 minutes. 3. Add item 1 to the manufacturing vessel and mix for 30 minutes at high speed. 4. Add 20.0 g of item 2 in a suitable vessel and levigate item 7 using stirrer, carefully avoiding lump formation. 5. Add 40.0 g of item 8 (70°C) to the stainless steel container while mixing to make a clear mucilage; mix for 15 minutes. Avoid air entrapment. 6. Cool down to 25° to 30°C while mixing at slow speed. 7. Transfer the mucilage to the manufacturing vessel. Rinse the vessel with 10.0 g of item 8 and transfer to the manufacturing vessel. 8. Mix at slow speed for 20 minutes. Transfer item 6 to the manufacturing vessel while mixing. Mix at low speed for 5 minutes. 9. Add 20.0 g of item 8 (25°C) in a separate stainless steel container and dissolve item 3 using Ekato stirrer until clear solution is obtained. 10. Transfer this solution to the manufacturing vessel and mix at low speed for 3 minutes. Add item 4 to the manufacturing vessel and mix at low speed for 3 minutes. 11. Check and record the pH of the solution. Limit: 3.3 to 3.7. Adjust the pH of the solution with 10% solution of sodium hydroxide if required. 12. Make the volume up to 1 L with item 8 (25°C) and finally mix for 15 to 20 minutes at high speed. 13. Filter the syrup at 1.5 bar. Recirculate."
Bromhexine Hydrochloride Syrup,"1. Add 250.0 g of item 10 to a suitable stainless steel manufacturing vessel and heat to 65° to 70°C. 2. Add 20.0 g of item 2 in a separate stainless steel container and mix item 8 using Ekato stirrer, carefully avoiding lump formation. 3. Transfer the slurry to the manufacturing vessel while continuing to mix to make a clear mucilage. Avoid air entrapment. 4. Cool down to 30°C while mixing at slow speed. 5. Transfer the mucilage to container. Load 100.0 g of item 2 to the manufacturing vessel. 6. Add item 6 in a separate stainless steel container and dissolve item 3 using stirrer. 7. Add 60.0 g of item 2 to the container while mixing at slow speed. 8. Add and dissolve item 1 to the container while mixing at slow speed. Avoid splashing of the solution. Check that bromhexine is dissolved completely. 9. Add item 4 to the container and mix well. Transfer the solution to the manufacturing vessel while mixing at high speed. 10. Rinse the container with 20.0 g of item 2 and transfer the rinsing to the manufacturing vessel while mixing. 11. Rinse the container with 20.0 g of item 10 and transfer the rinsing to the manufacturing vessel while mixing. Add 15.0 g of item 10 in a separate stainless steel container and dissolve item 5 using stirrer and transfer to the manufacturing vessel while mixing. 12. Check clarity of the solution in manufacturing vessel. The solution must be clear without any undissolved particles of the drug. 13. Add item 7 to the manufacturing vessel while mixing at high speed. 14. Transfer the cooled mucilage of item 8 to the manufacturing vessel used above while mixing at slow speed. 15. Check and record the pH of the solution (limit 3.3 to 3.6). 16. Dissolve item 9 in 5.0 g of cooled item 10 (30°C) in a separate stainless steel container. 17. Adjust the pH of the syrup in manufacturing vessel using the sodium hydroxide solution. Add sodium hydroxide solution in small portions at a time. Mix well and check the pH after every addition. Adjust the pH to 3.5 (limit 3.3 to 3.6). 18. Make up the volume up to 1.0 L with item 10 and, finally, mix for 15 to 20 minutes at high speed. Check and record the pH (limit 3.3 to 3.6). Filter the syrup at 1.5 bar. Recirculate."
Budesonide Inhaler,"1. Mix oleic acid in trichloromonofluoromethane in a suitable mixer. 2. Suspend budesonide in step 1 while mixing. Homogenize for 10 minutes. 3. On quality control release, fill the suspension, 2.582 g in aluminum containers. 4. Crimp the valve and pressurize with the mixture of dichlorodifluoromethane and dichlorotetrafluoromethane, 4.118 g per container."
Butamirate Citrate Syrup,1. Dissolve items 2 to 4 in item 9 (90%). 2. Add and dissolve item 1. 3. Add items 5 to 7. 4. Add item 8. 5. Bring to volume.
Caffeine Citrate Oral Solution,1. Dissolve item 1 in a solution of items 2 and 3 in item 4. 2. Adjust pH to 4.7
Calcitonin Nasal Spray,"1. Charge items 1 (90%), 2, and 3 in a suitable stainless steel mixing vessel under protection of nitrogen gas and mix well. 2. Measure and adjust pH to 3.7 using item 4. 3. Filter through 0.20-micron filter. 4. Add balance of item 1 in item 5 to step 3. Mix. 5. Fill into a spray nasal dispenser with a solution volume of 2 mL. The composition comprises approximately 550 MRC-units active ingredient per milliliter, and the applicator delivers a quantity comprising 55 units per actuation."
